z,src,dest,satellite,probability,energy_eV
47,3,1,0,0.5,21990.810115838904
47,7,1,0,0.18,24943.00348705408
47,12,1,0,0.05,25457.197181508265
47,6,1,0,0.08,24912.431167235918
47,9,4,0,1.0,2984.3850403809843
47,8,4,0,0.1,2978.284275850714
47,8,3,0,0.42,3151.0214788079415
47,7,2,0,0.11,3234.5416782916236
47,6,2,0,0.05,3203.535382473386
47,10,4,0,0.01,3256.109593435994
47,13,3,0,0.1,3519.6782897036196
47,11,2,0,0.03,3743.3030841837267
47,12,2,0,0.02,3749.8809089509496
47,5,4,0,0.02,2633.7026814746305
47,5,3,0,0.01,2806.1514028721385
47,8,6,0,0.01,229.6003470983328
47,13,6,0,0.5,600.1170737323316
47,9,7,0,0.01,204.93254121173507
47,10,7,0,0.1,476.86225935807585
47,14,7,0,1.0,568.2135079427118
47,12,9,0,0.01,311.7530486122698
48,4,1,0,1.0,23174.181311209086
48,3,1,0,0.5,22984.722003837403
48,7,1,0,0.19,26096.440209029617
48,12,1,0,0.05,26644.357215975695
48,6,1,0,0.08,26061.88120007141
48,9,4,0,1.0,3133.8023034640446
48,8,4,0,0.1,3126.9971811342284
48,8,3,0,0.42,3316.654872308545
48,7,2,0,0.11,3401.5332839435305
48,6,2,0,0.05,3367.2780350268663
48,10,4,0,0.01,3430.0278430147073
48,13,3,0,0.1,3716.953491177097
48,11,2,0,0.05,3951.435364537709
48,5,4,0,0.02,2767.417701971361
48,5,3,0,0.01,2956.826906576195
48,8,6,0,0.01,238.43112967903792
48,10,6,0,0.01,541.4156656467237
48,13,6,0,0.5,639.0937496551533
48,9,7,0,0.01,211.21667365093649
48,10,7,0,0.1,506.05790789020296
48,21,7,0,0.01,402.5460630944796
48,14,7,0,1.0,605.6872859457729
48,12,9,0,0.01,336.9135528073362
49,4,1,0,1.0,24210.460141981162
49,3,1,0,0.5,24002.82406650012
49,7,1,0,0.19,27276.848557464626
49,12,1,0,0.05,27861.615153505554
49,6,1,0,0.08,27238.496294454882
49,9,4,0,1.0,3287.0312051448523
49,8,4,0,0.1,3279.3716407439756
49,8,3,0,0.75,3487.2961129437294
49,7,2,0,0.06,3573.196096451125
49,6,2,0,0.04,3535.3649285023744
49,10,4,0,0.01,3608.3242851725445
49,13,3,0,0.08,3920.9073451470913
49,5,4,0,0.07,2904.4748070995292
49,5,3,0,0.07,3112.623232497413
50,4,1,0,1.0,25271.950149429213
50,3,1,0,0.5,25044.780816705326
50,7,1,0,0.19,28486.39542162938
50,12,1,0,0.05,29110.419439106787
50,6,1,0,0.09,28444.569017412985
50,9,4,0,1.0,3444.0626075184505
50,8,4,0,0.1,3435.5023381879773
50,8,3,0,0.75,3662.893624662091
50,7,2,0,0.06,3750.4480673079456
50,6,2,0,0.04,3708.3819352774826
50,10,4,0,0.01,3792.7136176732315
50,13,3,0,0.08,4131.222612435224
50,5,4,0,0.07,3045.060047722661
50,5,3,0,0.07,3272.4212521537315
50,8,6,0,0.01,262.1230178289635
50,10,6,0,0.01,619.9209371654986
50,13,6,0,0.5,732.3342435505004
50,9,7,0,0.01,228.75311334520242
50,10,7,0,0.1,576.6706392237196
50,21,7,0,0.01,482.42874487587443
50,14,7,0,1.0,691.1047237073562
50,12,9,0,0.01,396.876400233994
51,9,4,0,1.0,3604.8097619388127
51,8,4,0,0.1,3595.4120007278657
51,8,3,0,0.75,3843.6723977685165
51,7,2,0,0.06,3932.784812220458
51,6,2,0,0.04,3886.4810771031907
51,10,4,0,0.01,3980.064633999214
51,13,3,0,0.08,4347.896697389867
51,5,4,0,0.07,3188.680474893647
51,5,3,0,0.07,3436.702214269669
51,8,6,0,0.01,274.3012996307516
51,10,6,0,0.01,659.4903586867006
51,13,6,0,0.5,775.8710102196478
51,9,7,0,0.01,237.51760044655117
51,10,7,0,0.1,613.7831061044541
51,14,7,0,1.0,732.7670652074451
51,12,9,0,0.01,429.3081282309547
52,9,4,0,1.0,3769.432914784741
52,8,4,0,0.1,3758.8507192174443
52,8,3,0,0.75,4029.686568482523
52,7,2,0,0.06,4120.5407714071025
52,6,2,0,0.04,4069.5785621756554
52,10,4,0,0.01,4173.3152275790235
52,13,3,0,0.08,4570.997284079461
52,5,4,0,0.07,3335.6341589121143
52,5,3,0,0.07,3605.952541738399
52,10,6,0,0.01,704.4556104153393
52,9,7,0,0.01,246.48943823677877
52,10,7,0,0.1,649.1318713774854
52,21,7,0,0.01,569.2570589214863
52,14,7,0,1.0,778.3062613502808
52,12,9,0,0.01,464.0126775190858
53,9,4,0,1.0,3937.7560640633837
53,8,4,0,0.1,3926.1469590045226
53,8,3,0,0.75,4220.8245081805835
53,7,2,0,0.06,4313.558737396008
53,6,2,0,0.04,4257.59639820127
53,10,4,0,0.01,4370.688239695835
53,13,3,0,0.08,4801.048134055379
53,5,4,0,0.07,3485.1101444565547
53,5,3,0,0.07,3780.2477424804547
54,9,4,0,1.0,4110.063894221962
55,9,4,0,1.0,4286.550526659512
55,8,4,0,0.1,4272.37034573052
55,8,3,0,0.5,4619.897433882315
55,7,2,0,0.06,4716.917916420001
55,6,2,0,0.05,4649.52326682291
55,13,3,0,0.05,5280.4168412734125
55,11,2,0,0.01,5542.183515850866
55,12,2,0,0.01,5552.856835950363
55,5,4,0,0.02,3795.047059476575
55,5,3,0,0.01,4142.195223610173
56,9,4,0,1.0,4466.369618800761
56,8,4,0,0.1,4451.008872031524
56,8,3,0,0.5,4827.649897520052
56,7,2,0,0.06,4927.046075071519
56,6,2,0,0.05,4852.040364462087
56,13,3,0,0.05,5531.304369087652
56,11,2,0,0.01,5797.175266895764
56,12,2,0,0.01,5809.398717697485
56,5,4,0,0.02,3954.207859451434
56,5,3,0,0.01,4331.022720966212
56,18,8,0,0.1,779.2846475996212
56,14,7,0,1.0,972.4249994752919
56,12,9,0,0.01,600.6985825247078
57,9,4,0,1.0,4651.093049971853
57,8,4,0,0.1,4634.351180344096
57,8,3,0,0.5,5042.241783273877
57,7,2,0,0.06,5143.504975444916
57,6,2,0,0.05,5062.025371865419
57,13,3,0,0.05,5788.784547254632
57,11,2,0,0.01,6059.833207873887
57,12,2,0,0.01,6074.678463160202
57,5,4,0,0.02,4124.557133502985
57,5,3,0,0.01,4524.970344273712
57,16,9,0,1.0,827.1126579926598
57,15,8,0,0.45,840.5707622583033
57,14,7,0,0.01,1023.309569437931
57,12,9,0,0.01,638.1069862743167
58,9,4,0,1.0,4840.296210544591
58,8,4,0,0.1,4823.161418855509
58,8,3,0,0.5,5262.263377322682
58,7,2,0,0.06,5365.190507295846
58,6,2,0,0.05,5276.596477554569
58,13,3,0,0.05,6051.846899648543
58,11,2,0,0.01,6325.0784324609585
58,12,2,0,0.01,6340.929137886755
58,5,4,0,0.02,4287.588181107988
58,5,3,0,0.01,4731.679099076431
58,16,9,0,1.0,878.137172838726
58,15,8,0,0.45,892.6147403390909
58,14,7,0,0.01,1075.3181910936662
58,12,9,0,0.01,675.6631467743854
59,9,4,0,1.0,5033.868754896456
59,8,4,0,0.1,5013.716180723026
59,8,3,0,0.5,5488.940474282793
59,7,2,0,0.06,5591.92618767363
59,6,2,0,0.05,5498.190130070941
59,13,3,0,0.05,6322.175688802188
59,11,2,0,0.01,6598.062233681003
59,12,2,0,0.01,6616.018539653132
59,5,4,0,0.02,4453.2950480622
59,5,3,0,0.01,4935.676251317664
59,16,9,0,1.0,925.0480297925817
59,15,8,0,0.45,953.8712681420197
59,14,7,0,0.01,1127.3339464729925
59,12,9,0,0.01,712.5528013396536
60,9,4,0,1.0,5230.517525864821
60,8,4,0,0.1,5207.8879083084685
60,8,3,0,0.5,5721.730925889507
60,7,2,0,0.06,5829.611972592615
60,6,2,0,0.05,5721.730925889507
60,13,3,0,0.05,6602.278472394682
60,11,2,0,0.01,6883.0393289901585
60,12,2,0,0.01,6901.814041032048
60,5,4,0,0.02,4633.190860728689
60,5,3,0,0.01,5145.853217942214
60,16,9,0,1.0,973.417503596606
60,15,8,0,0.55,1005.712097932347
60,14,7,0,0.01,1180.2397661408827
60,12,9,0,0.01,751.1461737131934
61,9,4,0,1.0,5432.660916357011
61,8,4,0,0.1,5408.016550340212
61,8,3,0,0.5,5961.638093624067
61,7,2,0,0.06,6071.4062696782585
61,13,3,0,0.05,6892.222326594014
62,9,4,0,1.0,5636.157261255556
62,8,4,0,0.1,5608.570782545155
